Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
2001,2015/07/31,23.7,19.9,27.9
2001,2015/08/01,20.1,17.6,23.2
2001,2015/08/02,23.2,16.3,29.9
2001,2015/08/03,25.8,18.7,32.5
2001,2015/08/04,27.5,20.6,32.7
2001,2015/08/05,28.2,20.9,35.4
2001,2015/08/06,29.6,22.3,36.7
2001,2015/08/07,30.5,23.9,37.0
2001,2015/08/08,30.2,24.0,36.9
2001,2015/08/09,28.5,22.2,34.7
2001,2015/08/10,22.2,19.1,28.3
2001,2015/08/11,26.3,18.9,33.7
2001,2015/08/12,28.0,20.8,34.8
2001,2015/08/13,29.1,22.9,35.7
2001,2015/08/14,24.6,19.6,28.7
2001,2015/08/15,22.4,17.8,27.1
2001,2015/08/16,19.8,16.6,26.9
2001,2015/08/17,22.6,16.0,29.8
2001,2015/08/18,21.7,17.3,27.8
2001,2015/08/19,20.4,16.4,26.2
2001,2015/08/20,22.3,15.4,29.6
2001,2015/08/21,22.4,17.8,27.7
2001,2015/08/22,22.7,17.6,27.9
2001,2015/08/23,19.6,17.6,22.3
2001,2015/08/24,19.5,17.2,23.4
2001,2015/08/25,22.1,18.5,27.6
2001,2015/08/26,22.8,16.6,29.9
2001,2015/08/27,24.0,17.0,30.9
2001,2015/08/28,25.1,18.2,32.2
2001,2015/08/29,26.4,19.5,33.5
2001,2015/08/30,26.4,19.1,33.9
2001,2015/08/31,26.6,19.6,33.3
2001,2015/09/01,24.5,17.6,30.8
2001,2015/09/02,23.9,18.6,29.9
2001,2015/09/03,22.9,18.8,27.6
2001,2015/09/04,22.3,16.9,27.5
2001,2015/09/05,19.7,15.3,24.5
2001,2015/09/06,18.3,10.3,26.0
2001,2015/09/07,18.5,11.6,25.6
2001,2015/09/08,19.8,15.7,25.1
2001,2015/09/09,19.1,13.3,25.1
2001,2015/09/10,19.6,16.4,24.3
2001,2015/09/11,18.9,15.9,23.3
2001,2015/09/12,20.6,14.8,25.2
2001,2015/09/13,18.7,17.3,20.9
2001,2015/09/14,20.1,17.3,25.1
2001,2015/09/15,21.2,17.6,26.4
2001,2015/09/16,19.2,17.7,21.5
2001,2015/09/17,21.7,16.5,28.2
2001,2015/09/18,21.8,17.1,28.1
2001,2015/09/19,20.3,13.4,27.2
2001,2015/09/20,19.6,12.4,26.9
2001,2015/09/21,18.4,11.8,26.1
2001,2015/09/22,18.5,15.6,22.4
2001,2015/09/23,13.1,10.4,17.5
2001,2015/09/24,14.8,7.8,22.8
2001,2015/09/25,17.5,10.3,25.7
2001,2015/09/26,18.5,12.3,24.6
2001,2015/09/27,17.9,15.4,21.3
2001,2015/09/28,17.2,13.6,20.7
2001,2015/09/29,14.8,9.3,19.4
2001,2015/09/30,15.3,11.9,19.4
2001,2015/10/01,13.5,8.1,16.8
2001,2015/10/02,14.1,12.9,16.0
2001,2015/10/03,15.2,12.8,17.7
2001,2015/10/04,16.3,12.8,20.5
2001,2015/10/05,16.6,11.5,22.3
2001,2015/10/06,16.2,15.3,18.3
2001,2015/10/07,17.1,14.5,22.0
2001,2015/10/08,18.0,14.1,23.4
2001,2015/10/09,16.9,13.3,22.7
2001,2015/10/10,16.5,12.4,21.2
2001,2015/10/11,15.7,11.1,21.6
2001,2015/10/12,16.3,11.7,21.4
2001,2015/10/13,14.2,13.8,14.9
