Stazione, Milano Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2022/04/18,17
2022/04/19,23
2022/04/20,23
2022/04/21,18
2022/04/22,21
2022/04/23,23
2022/04/24,6
2022/04/25,9
2022/04/26,15
2022/04/27,18
2022/04/28,15
2022/04/29,21
2022/04/30,21
2022/05/01,12
2022/05/02,17
2022/05/03,20
2022/05/04,21
2022/05/05,24
2022/05/06,12
2022/05/07,19
2022/05/08,10
2022/05/09,23
2022/05/10,25
2022/05/11,25
2022/05/12,22
2022/05/13,22
2022/05/14,21
2022/05/15,25
2022/05/16,21
2022/05/17,25
2022/05/18,26
2022/05/19,22
2022/05/20,30
2022/05/21,25
2022/05/22,21
2022/05/23,21
2022/05/24,29
2022/05/25,19
2022/05/26,29
2022/05/27,34
2022/05/28,34
2022/05/29,11
2022/05/30,15
2022/05/31,29
2022/06/01,29
2022/06/02,24
2022/06/03,29
2022/06/04,22
2022/06/05,29
2022/06/06,21
2022/06/07,13
2022/06/08,14
2022/06/09,13
2022/06/10,15
2022/06/11,17
2022/06/12,18
2022/06/13,29
2022/06/14,-999
2022/06/15,-999
2022/06/16,-999
2022/06/17,-999
2022/06/18,-999
2022/06/19,24
2022/06/20,34
2022/06/21,31
2022/06/22,29
2022/06/23,36
2022/06/24,23
2022/06/25,14
2022/06/26,20
2022/06/27,38
2022/06/28,-999
2022/06/29,-999
2022/06/30,-999
2022/07/01,-999
2022/07/02,22
2022/07/03,26
2022/07/04,28
2022/07/05,16
2022/07/06,15
2022/07/07,21
2022/07/08,18
2022/07/09,13
2022/07/10,16
2022/07/11,17
2022/07/12,18
2022/07/13,19
2022/07/14,29
2022/07/15,29
2022/07/16,22
2022/07/17,24
2022/07/18,27
2022/07/19,25
2022/07/20,26
2022/07/21,31
2022/07/22,33
2022/07/23,27
2022/07/24,26
2022/07/25,34
2022/07/26,21
2022/07/27,12
2022/07/28,17
2022/07/29,16
2022/07/30,13
2022/07/31,13
2022/08/01,16
2022/08/02,18
2022/08/03,21
2022/08/04,22
2022/08/05,24
2022/08/06,18
2022/08/07,10
2022/08/08,14
2022/08/09,21
2022/08/10,21
2022/08/11,20
2022/08/12,18
2022/08/13,10
2022/08/14,14
2022/08/15,13
2022/08/16,16
2022/08/17,23
2022/08/18,15
2022/08/19,9
2022/08/20,12
2022/08/21,12
2022/08/22,14
2022/08/23,-999
2022/08/24,-999
2022/08/25,-999
2022/08/26,22
2022/08/27,15
2022/08/28,15
2022/08/29,-999
2022/08/30,-999
2022/08/31,16
2022/09/01,15
2022/09/02,18
2022/09/03,17
2022/09/04,21
2022/09/05,25
2022/09/06,25
2022/09/07,27
2022/09/08,20
2022/09/09,16
2022/09/10,18
2022/09/11,15
2022/09/12,21
2022/09/13,27
2022/09/14,22
2022/09/15,26
2022/09/16,33
2022/09/17,17
2022/09/18,11
2022/09/19,20
2022/09/20,18
2022/09/21,15
2022/09/22,17
2022/09/23,24
2022/09/24,24
2022/09/25,16
2022/09/26,20
2022/09/27,15
2022/09/28,18
2022/09/29,21
2022/09/30,10
2022/10/01,13
2022/10/02,15
2022/10/03,24
2022/10/04,37
2022/10/05,42
2022/10/06,61
2022/10/07,50
2022/10/08,47
2022/10/09,35
2022/10/10,26
2022/10/11,32
2022/10/12,38
2022/10/13,59
2022/10/14,74
2022/10/15,86
2022/10/16,66
2022/10/17,66
2022/10/18,57
2022/10/19,58
2022/10/20,57
2022/10/21,40
2022/10/22,36
2022/10/23,23
2022/10/24,39
2022/10/25,39
2022/10/26,47
2022/10/27,55
2022/10/28,56
2022/10/29,50
2022/10/30,42
2022/10/31,48
2022/11/01,32
2022/11/02,35
2022/11/03,28
2022/11/04,12
2022/11/05,24
2022/11/06,28
2022/11/07,39
2022/11/08,42
2022/11/09,37
2022/11/10,40
2022/11/11,42
2022/11/12,40
2022/11/13,26
2022/11/14,25
2022/11/15,23
2022/11/16,16
2022/11/17,40
2022/11/18,32
2022/11/19,35
2022/11/20,31
2022/11/21,45
2022/11/22,18
2022/11/23,31
2022/11/24,35
2022/11/25,49
2022/11/26,60
2022/11/27,36
2022/11/28,36
2022/11/29,38
2022/11/30,53
2022/12/01,51
2022/12/02,32
2022/12/03,25
2022/12/04,11
2022/12/05,18
2022/12/06,27
2022/12/07,-999
2022/12/08,-999
2022/12/09,-999
2022/12/10,-999
2022/12/11,-999
2022/12/12,25
2022/12/13,36
2022/12/14,49
2022/12/15,44
2022/12/16,-999
2022/12/17,25
2022/12/18,37
2022/12/19,47
2022/12/20,46
2022/12/21,38
2022/12/22,46
2022/12/23,65
2022/12/24,69
2022/12/25,63
2022/12/26,47
2022/12/27,46
2022/12/28,52
2022/12/29,56
2022/12/30,36
2022/12/31,46
2023/01/01,57
2023/01/02,25
2023/01/03,17
2023/01/04,27
2023/01/05,29
2023/01/06,37
2023/01/07,29
2023/01/08,22
2023/01/09,12
2023/01/10,13
2023/01/11,44
2023/01/12,56
2023/01/13,66
2023/01/14,51
2023/01/15,56
2023/01/16,41
2023/01/17,24
2023/01/18,33
2023/01/19,17
2023/01/20,30
2023/01/21,21
2023/01/22,27
2023/01/23,47
2023/01/24,23
2023/01/25,33
2023/01/26,35
2023/01/27,28
2023/01/28,46
2023/01/29,40
2023/01/30,49
2023/01/31,71
2023/02/01,39
2023/02/02,27
2023/02/03,33
2023/02/04,34
2023/02/05,14
2023/02/06,18
2023/02/07,25
2023/02/08,40
2023/02/09,23
2023/02/10,59
2023/02/11,64
2023/02/12,59
2023/02/13,68
2023/02/14,79
2023/02/15,92
2023/02/16,52
2023/02/17,28
2023/02/18,20
2023/02/19,27
2023/02/20,80
2023/02/21,62
2023/02/22,77
2023/02/23,74
2023/02/24,69
2023/02/25,44
2023/02/26,18
2023/02/27,12
2023/02/28,26
2023/03/01,36
2023/03/02,30
2023/03/03,36
2023/03/04,48
2023/03/05,48
2023/03/06,31
2023/03/07,31
2023/03/08,33
2023/03/09,26
2023/03/10,31
2023/03/11,10
2023/03/12,22
2023/03/13,27
2023/03/14,24
2023/03/15,10
2023/03/16,18
2023/03/17,28
2023/03/18,42
2023/03/19,42
2023/03/20,49
2023/03/21,64
2023/03/22,53
2023/03/23,19
2023/03/24,15
2023/03/25,19
2023/03/26,20
2023/03/27,13
2023/03/28,10
2023/03/29,19
2023/03/30,20
2023/03/31,25
2023/04/01,13
2023/04/02,20
2023/04/03,24
2023/04/04,21
2023/04/05,25
2023/04/06,30
2023/04/07,31
2023/04/08,30
2023/04/09,18
2023/04/10,13
2023/04/11,23
2023/04/12,25
2023/04/13,16
2023/04/14,10
2023/04/15,16
2023/04/16,11
2023/04/17,12
