data,temperatura,umidità_relativa,precipitazione,direzione_vento,radiazione_globale,velocità_vento
2022-04-18T00:00:00Z,10.2,46,0,60,0,1.3
2022-04-18T01:00:00Z,10.3,45.8,0,58,0,1.2
2022-04-18T02:00:00Z,10.7,44.2,0,60,0,1.3
2022-04-18T03:00:00Z,10.3,43.7,0,61,0,1.3
2022-04-18T04:00:00Z,9.7,46.2,0,59,0,0.9
2022-04-18T05:00:00Z,8.9,53,0,12,0,0.3
2022-04-18T06:00:00Z,9,50.7,0,72,0,1.1
2022-04-18T07:00:00Z,9.5,49.5,0,70,90.8,0.8
2022-04-18T08:00:00Z,12.4,38.7,0,120,285,1.9
2022-04-18T09:00:00Z,14,36.3,0,131,485,1.9
2022-04-18T10:00:00Z,15.7,31,0,143,652.7,1.6
2022-04-18T11:00:00Z,16.5,27.2,0,123,768.8,1.8
2022-04-18T12:00:00Z,17.3,26.5,0,127,836,2
2022-04-18T13:00:00Z,18.1,26.3,0,170,869,2.3
2022-04-18T14:00:00Z,19,25.7,0,173,848.8,1.9
2022-04-18T15:00:00Z,19.4,25.3,0,149,750.7,2.1
2022-04-18T16:00:00Z,19.4,26,0,88,608,1.9
2022-04-18T17:00:00Z,19.4,26.8,0,96,439.8,1.8
2022-04-18T18:00:00Z,18.9,27.7,0,123,245.3,1.9
2022-04-18T19:00:00Z,17,32,0,125,50.5,1.6
2022-04-18T20:00:00Z,14.6,38.8,0,125,0,1.3
2022-04-18T21:00:00Z,13,44.3,0,124,0,1.1
2022-04-18T22:00:00Z,12.2,48.2,0,108,0,1.1
2022-04-18T23:00:00Z,11.5,51.5,0,60,0,1.1
2022-04-19T00:00:00Z,10.9,52.3,0,61,0,1.3
2022-04-19T01:00:00Z,10,51.8,0,61,0,1.2
2022-04-19T02:00:00Z,9.6,50.7,0,59,0,1.2
2022-04-19T03:00:00Z,8.3,53.2,0,80,0,0.8
2022-04-19T04:00:00Z,5.7,66.8,0,307,0,0.3
2022-04-19T05:00:00Z,5.2,72.3,0,285,0,0.6
2022-04-19T06:00:00Z,5,74.3,0,262,0,0.2
2022-04-19T07:00:00Z,8.3,61.2,0,348,97.5,0.5
2022-04-19T08:00:00Z,13.7,43.7,0,324,290.7,0.6
2022-04-19T09:00:00Z,16.2,28.5,0,160,488.7,1.5
2022-04-19T10:00:00Z,16.7,30.2,0,150,649.5,1.9
2022-04-19T11:00:00Z,18.2,25.8,0,162,765.3,1.8
2022-04-19T12:00:00Z,19.1,24,0,189,828.3,2
2022-04-19T13:00:00Z,20.3,24,0,229,862,2.1
2022-04-19T14:00:00Z,21.1,25.7,0,215,852,2.2
2022-04-19T15:00:00Z,22.2,28.2,0,228,758,2.3
2022-04-19T16:00:00Z,22.6,28.2,0,243,597.7,2
2022-04-19T17:00:00Z,22.2,29.3,0,228,316.2,2
2022-04-19T18:00:00Z,20.6,38,0,222,134,2.9
2022-04-19T19:00:00Z,18.4,46,0,223,28.5,2.6
2022-04-19T20:00:00Z,16.5,53.5,0,230,0,2.3
2022-04-19T21:00:00Z,15.4,60,0,228,0,1.7
2022-04-19T22:00:00Z,14.3,66.7,0,269,0,1.2
2022-04-19T23:00:00Z,13.7,70.8,0,295,0,1.2
2022-04-20T00:00:00Z,11.7,80.7,0,77,0,0.6
2022-04-20T01:00:00Z,11.3,79.5,0,99,0,1
2022-04-20T02:00:00Z,12.1,62.2,0,107,0,1.9
2022-04-20T03:00:00Z,11.2,64.6,0,78,0,1.7
2022-04-20T04:00:00Z,9.9,73.3,0,74,0,1.3
2022-04-20T05:00:00Z,10.2,75.5,0,77,0,1.4
2022-04-20T06:00:00Z,10.6,75.5,0,90,0,1.6
2022-04-20T07:00:00Z,11.2,74.3,0,76,46.7,2.1
2022-04-20T08:00:00Z,12.2,66.8,0,80,174,2.8
2022-04-20T09:00:00Z,12.4,63.7,0,101,176.7,3.2
2022-04-20T10:00:00Z,13.2,59.8,0,92,292.8,2.8
2022-04-20T11:00:00Z,14.4,57.7,0,90,548.3,3.2
2022-04-20T12:00:00Z,15.8,53.3,0,96,665.7,2.9
2022-04-20T13:00:00Z,17,48.7,0,95,609,2.8
2022-04-20T14:00:00Z,16.3,49.3,0,68,307.2,2.8
2022-04-20T15:00:00Z,16.6,47.7,0,89,217.5,2.1
2022-04-20T16:00:00Z,16.2,48.5,0,62,220,2.4
2022-04-20T17:00:00Z,17.1,46.2,0,85,239.2,1.9
2022-04-20T18:00:00Z,16.3,47.8,0,92,84.8,1.6
2022-04-20T19:00:00Z,15.2,51.3,0,78,33.5,0.9
2022-04-20T20:00:00Z,13.3,58.7,0,78,0,0.6
2022-04-20T21:00:00Z,12.8,61.2,0,70,0,0.7
2022-04-20T22:00:00Z,13.4,59.7,0,114,0,1.1
2022-04-20T23:00:00Z,12.9,63.7,0,117,0,1.4
2022-04-21T00:00:00Z,12.4,67.2,0,79,0,1.2
2022-04-21T01:00:00Z,11.6,68.3,0,63,0,1.6
2022-04-21T02:00:00Z,10.5,66.5,0,71,0,1.3
2022-04-21T03:00:00Z,9.1,68.7,0,68,0,0.8
2022-04-21T04:00:00Z,8.8,66,0,79,0,0.8
2022-04-21T05:00:00Z,8.8,62.3,0,45,0,0.5
2022-04-21T06:00:00Z,9.6,56.2,0,56,0,0.9
2022-04-21T07:00:00Z,10.6,50.2,0,79,40.3,1
2022-04-21T08:00:00Z,12,41.7,0,96,140.2,1.3
2022-04-21T09:00:00Z,13.9,38.7,0,100,410.2,2.8
2022-04-21T10:00:00Z,15.3,38,0,79,556.2,2.6
2022-04-21T11:00:00Z,16.2,38.8,0,105,557.3,2.4
2022-04-21T12:00:00Z,17.1,36.5,0,125,524.5,2.8
2022-04-21T13:00:00Z,16.7,36.2,0,132,362.5,2.5
2022-04-21T14:00:00Z,17.1,34.3,0,111,390.3,2.3
2022-04-21T15:00:00Z,17,36.3,0,125,341.7,2.5
2022-04-21T16:00:00Z,14.7,45.8,0,129,135.7,3
2022-04-21T17:00:00Z,13.5,50.3,0,116,54.2,2.5
2022-04-21T18:00:00Z,13.1,51.7,0,106,34.2,1.8
2022-04-21T19:00:00Z,12.9,53.2,0,82,0,1.3
2022-04-21T20:00:00Z,12.4,55.8,0,61,0,1.1
2022-04-21T21:00:00Z,12.3,58,0,58,0,1.2
2022-04-21T22:00:00Z,11.6,60.5,0,132,0,0.4
2022-04-21T23:00:00Z,11,69.3,0,213,0,0.3
2022-04-22T00:00:00Z,11,74,0,179,0,0.2
2022-04-22T01:00:00Z,10.7,83,0,172,0,1.6
2022-04-22T02:00:00Z,9.2,89.8,0,179,0,1.8
2022-04-22T03:00:00Z,8.8,93.2,0,180,0,0.7
2022-04-22T04:00:00Z,9,92,0,196,0,1.2
2022-04-22T05:00:00Z,9,90.3,0,222,0,1.1
2022-04-22T06:00:00Z,9.1,90,0,209,0,0.9
2022-04-22T07:00:00Z,9.5,87.2,0,251,33.8,0.9
2022-04-22T08:00:00Z,10.7,80.5,0,266,108.3,1
2022-04-22T09:00:00Z,11.7,74.7,0,280,217,1.5
2022-04-22T10:00:00Z,13.5,67,0,263,329.5,1.4
2022-04-22T11:00:00Z,15.3,58.7,0,237,399.3,1.6
2022-04-22T12:00:00Z,16.7,54.2,0,226,460.8,2
2022-04-22T13:00:00Z,17.3,55,0,223,412.3,2.2
2022-04-22T14:00:00Z,17.6,53.8,0,218,365.2,2.2
2022-04-22T15:00:00Z,16.8,56.5,0,195,315.8,2.5
2022-04-22T16:00:00Z,17.1,55.7,0,179,314.7,2.1
2022-04-22T17:00:00Z,17,57,0,174,232,1.8
2022-04-22T18:00:00Z,17,58.3,0,162,216.5,2
2022-04-22T19:00:00Z,15.7,62.3,0,125,52,1.8
2022-04-22T20:00:00Z,14.4,68.5,0,102,0,1.3
2022-04-22T21:00:00Z,13.3,73.8,0,88,0,0.8
2022-04-22T22:00:00Z,12.1,80.7,0,116,0,0.7
2022-04-22T23:00:00Z,10.9,87.2,0,54,0,0.7
2022-04-23T00:00:00Z,10.7,88.5,0,359,0,0.5
2022-04-23T01:00:00Z,11,88.5,0,39,0,0.6
2022-04-23T02:00:00Z,11.2,87.5,0,65,0,0.5
2022-04-23T03:00:00Z,11.1,87.5,0,55,0,0.5
2022-04-23T04:00:00Z,10.9,88.5,0,125,0,0.6
2022-04-23T05:00:00Z,10.4,91.7,0,128,0,0.3
2022-04-23T06:00:00Z,11,89.7,0,92,0,0.7
2022-04-23T07:00:00Z,11.7,86.2,0,77,6.2,1.1
2022-04-23T08:00:00Z,13,78.5,0,86,142,2
2022-04-23T09:00:00Z,15.5,66.5,0,88,388.2,2.8
2022-04-23T10:00:00Z,15.8,65.3,0,103,224.7,2.7
2022-04-23T11:00:00Z,16.1,65.7,0,114,281.3,3.6
2022-04-23T12:00:00Z,15.8,69.2,0,109,163.8,2.8
2022-04-23T13:00:00Z,16.6,68.8,0,84,297.7,2.7
2022-04-23T14:00:00Z,16.2,69.2,0,68,121.8,2.6
2022-04-23T15:00:00Z,15.8,76.3,0,77,116,2.3
2022-04-23T16:00:00Z,15.4,81.5,0,103,66.3,2.5
2022-04-23T17:00:00Z,15.4,80.7,0,85,52,2.5
2022-04-23T18:00:00Z,15.4,77.3,0,79,28.3,2.7
2022-04-23T19:00:00Z,15.4,76.2,0,76,13.8,2.8
2022-04-23T20:00:00Z,14.6,78.8,0,68,0,2.9
2022-04-23T21:00:00Z,14.2,83.3,0,87,0,3.2
